Query	Closest-1	Closest-2	Closest-3
What are some of the best tutorials available online to learn singing?	Where can I get very comprehensive commercial painting services in Brisbane?	How can I grow my Local TV Ad Making business?	What are the best questions to ask a psychiatrist?
Which is the best movie from 2016?	Which is the best movie from 2016?	Which is the best movie from 2016?	Which is the best movie of 2016?
Why can't I motivate myself to do anything, and what can I do to motivate myself?	How do I motivate myself for anything?	Why can't I motivate myself to do anything, and what can I do to motivate myself?	How do I self motivate?
Is maturity innocence reclaimed?	Why do Americans say "three times" instead of "thrice"?	How is sodium bicarbonate made?	Why is the sky sometimes very bright at night in the winter?
What is the reason air moves from areas of high to low pressure?	How much money can I deposit in my account?	What are the best sources for learning about acceleration?	What would you do if you have absolutely no one to talk to and share your feelings with?
How do I reduce belly and chest fat?	How do I reduce belly and chest fat?	How do I reduce belly and chest fat?	How do I reduce belly and chest fat?
How do I make my college application for NYUAD stand out?	Do wolves have the temperament to be kept as domestic pets?	Did William Shakespeare write anything other than plays?	Did William Shakespeare write anything other than plays?
What's the reason India fails in Olympics?	What's the reason India fails in Olympics?	What's the reason India fails in Olympics?	What's the reason India fails in Olympics?
What was the production of artwork intended for in Hawaii and how is it compared to the one intended for in Alaska?	What was the production of artwork intended for in Hawaii and how is it compared to the one intended for in Alaska?	Harvard College Courses: What is general shopping advice for History of Science classes?	Whose salary is the highest among IAS, IPS or navy lieutenant?
As a mechanical engineering student, what are the benefits of learning Java and Python?	Which programming language should I learn if I want to create (iOS) apps?	What are the best career option for a Diploma holder in Electrical Engineering?	What are the best career option for a Diploma holder in Electrical Engineering?
How is the word 'debris' used in a sentence?	How is the word 'debris' used in a sentence?	How is the word 'debris' used in a sentence?	How is the word 'debris' used in a sentence?
What is the Navy Corpsman "C" school?	Does Anthony Weiner have a compulsion to email pictures of his genitals?	How can I become an evil strategical mastermind?	Why boy like aunties more than girls?
Where is the HTC service center in Sangli city?	What is the secret behind the sound when NaCl is on fire?	Where can I get very affordable plastering service in Boston?	What is the role of a Business Analyst at google?
What are differences between Disc Brake and Drum Brake?	What are the best book for electronic commerce?	What is the main cause of international marketing problems?	What are some swear words in sign language?
How can I prevent mosquitos from biting me?	What are some tips to cook a whole frozen lobster?	How does one ‘deny themself’ as Jesus told his disciples to do?	How does one become a member of Anonymous?
Is it ok to chat with stranger guy daily without being in a relationship?	What's the nutritional difference between normal yogurt and Greek yogurt? Which is better?	What is the Arlington School, VA extended day interview like?	As a venture capital investor, if you had an opportunity to invest in Twitter but passed, what was your rationale?
How do I get rid of my belly fat?	How should I get rid of belly fat?	How should I get rid of belly fat?	How get can I rid of belly fat?
